,Company Name,Use,Country,Description,Funding,Url,Email,Founders
22,Life," Artificial Intelligence, Autonomous Vehicles, Drones, Industrial Automation, Telecommunications",United States,Unmanned life enables industries to be fully autonomous through its full stack AI for Autonomy software platform,"25,602", unmanned.life/ ,talktous@unmanned.life,2
23,CIVDRONE," Civil Engineering, Commercial, Drones",Israel,Civdrone is a construction tech startup aiming to revolutionize land surveying.,"25,831", www.civdrone.com/ ,liav@civdrone.com,2
24,GoodVision," Analytics, Artificial Intelligence, Big Data, Computer Vision, Data Visualization, Machine Learning, SaaS, Smart Cities, Transportation",United Kingdom,Advanced Traffic Analytics Platform via Artificial Intelligence,"26,073", www.goodvisionlive.com ,info@goodvisionlive.com,2
25,Aero," Aerospace, Software",United States,"A Philadelphia-based team of electrical, computer, software, systems, and aerospace engineers.","86,019", vergeaero.com/ ,—,2
26,Aerospace," Artificial Intelligence, Drone Management, Drones, Military, Sensor",United States,"Smart-Persistent Intelligence, Surveillance and Reconnaissance (SP-ISR) using Unmanned Aerial Systems (UAS)","86,629", www.krausaerospace.com ,info@krausaerospace.com,2
27,Studios," 3D Technology, Video Games, Virtual Reality",United States,E-sports pilots fly drones through twisting 3D asteroid mines,"86,733", descendentstudios.com/ ,—,1
28,Inc.," Aerospace, Big Data, Drones, Impact Investing, Public Safety",United States,Unmanned Aerial Systems uniquely purposed for environmental monitoring to empower clients with previously unobtainable information.,"87,551", www.mountaindrones.net ,team@mountaindrones.net,1
29,Aerovinci," Aerospace, Electronics",The Netherlands,Aerovinci expects the demand for drones to grow extremely fast in the next decade.,"87,777", www.aerovinci.com ,info@aerovinci.com,1
30,GST," Drones, Rental, Sales",Spain,"Topographic provides facilities, Purchase, Rental, Technical service, Drone job & UAV systems.","88,616", www.gst-sl.com/ ,gst@gst-sl.com,—
31,Galileo," Drones, Enterprise Software, Software",United States,"Galileo is the first smart drone designed to protect homes, properties, and businesses.","89,981", galileousa.com ,jpsanabria@galileousa.com,4
32,Communications, Wireless,United States,"Blind Tiger Communication’s WIDDS solution has been specifically developed for government, public and private companies.","90,040", www.blindtigercom.com ,bokathc@mobile-soap.com,1
33,Keelcrab," Automotive, Drones, Manufacturing, Marine Technology, Marine Transportation, Robotics, Transportation, Water",Italy,KeelCrab is the first R.O.V vehicle for the care of your hull entirely designed and built in Italy.,"90,079", www.keelcrab.com/en/ ,info@keelcrab.com,1
34,Fleye," Consumer Electronics, Drones, Electronics, Robotics",Belgium,Meet your personal flying robot. Same shape and weight of a soccer ball. Autonomous and programmable.,"91,602", gofleye.com ,hello@gofleye.com,2
35,Polska," Biotechnology, Drones, Information Technology, Mechanical Design, Mechanical Engineering, Medical",Poland,SKA Polska is created out of passion for science and the desire for using its newest achievements in everyday life.,"91,652", ska-polska.pl ,info@ska-polska.pl,—
36,Robotics," Drones, Robotics",United States,Corvus Robotics make indoor drones for warehouses Inventorying.,"91,852", www.corvus-robotics.com/ ,—,1
37,FuVeX," Aerospace, Drones, Manufacturing",Spain,"FuVeX is dedicated to the design, manufacture, and commercialization of drones.","92,308", www.fuvex.com/ ,info@fuvex.com,1
38,Aerial," Aerospace, Commercial, Drones, Mapping Services",United States,Arch Aerial is a commercial unmanned aerial systems operator and hardware manufacturer.,"93,062", archaerial.com ,—,1
39,Vinveli," Agriculture, Drones",United States,Vinveli is an international technology solutions provider specializing in the aerospace and robotics industry.,"93,334", vinveli.org/ ,info@vinveli.org,3
40,Pison," Artificial Intelligence, Computer, Information Technology, Robotics",United States,Pison is a human performance company optimizing cognitive and physiological capability through gesture control.,"93,531", www.pison.com/ ,info@pison.com,—
41,Luceor," Security, Wireless",France,Luceor is pioneer in WiMesh technology.,"94,180", www.luceor.com/ ,support@luceor.com,—
42,Aeronautics," Aerospace, Drones, Enterprise, Transportation",Israel,"The Urban Aeronautics X-Hawk is a design for a flying car which is being developed by Rafi Yoeli in Yavne, Israel.","94,570", www.urbanaero.com/ ,info@urbanaero.com,1
43,Drones," Aerospace, Agriculture, Drones, Infrastructure, Mapping Services, Mining, Solar",India,"We use drones to acquire data, analyze and present it to enterprises in infrastructure, mining, agriculture, and renewable energy.","95,314", skylarkdrones.com/ ,info@skylarkdrones.com,2
44,Spacedat," Agriculture, Big Data, Drones, Information Services, Information Technology",Peru,AgTech startup bringing BIG DATA to agriculture with a DRONE enabled digital platform,"95,319", www.spacedat.com ,devivanco@spacedat.com,1
45,LTD," Apps, Drone Management, Drones, Machinery Manufacturing, Software",Israel,XTEND - Human Machine Telepresence,"126,066", www.xtend.me ,hello@xtend.me,4
46,Technidrone," Aerospace, Drones, Industrial Design",Spain,"Technidrone is a company dedicated to the manufacture, technical service, and maintenance of unmanned aircraft for civil use.","126,081", technidrone.es ,info@technidrone.es,1
47,Drones," Automotive, Drone Management, Drones",France,"Parrot Drones is a subsidiary of Parrot, a developer of advanced technology wireless products.","126,990", www.parrot.com/global/drones ,parrot@themessengers.fr,—
48,Skyrobotic," Manufacturing, Market Research",Italy,Skyrobotic is active in development and manufacture of civil and commercial drones in mini and micro classes for the professional market,"127,284", www.skyrobotic.com ,—,1
49,Trackimo," GPS, Internet of Things, Security",United States,"Develops affordable safety and GPS tracking devices based on powerful IoT platform, self-developed devices + low cost global coverage","127,440", www.trackimo.com ,info@trackimo.com,3
50,Explicit," Drones, Hardware, Software",Denmark,"Explicit is an experienced growth technology company specializing in systems for data acquisition, monitoring, and administration.","127,532", www.explicit.dk/ ,info@explicit.dk,—
51,Gramophone," Consumer Electronics, Drones, Hardware",United States,Gramophone is a consumer electronics firm that provides home entertainment technology products.,"128,164", gramophone.com ,—,—
52,Skyeton," Aerospace, Drones, Industrial, Robotics",Canada,"Skyeton developed highly automated aerial platforms for different long-range missions, early wildfire detection, Geodesy, Agri, and SAR apps","129,469", skyeton.com ,a.ashrafi@skyeton.com,3
53,Robotics," Drone Management, Drones, Logistics, Robotics",Singapore,Automated inventory stock-taking for every warehouse,"131,096", www.infiniumrobotics.com/ ,info@infiniumrobotics.com,1
54,Technologies," Agriculture, AgTech, Drones, Hardware, Robotics, Software",India,Thanos is a drone technology company building innovative aerial solutions to conventional terrestrial problems.,"131,106", www.thanos.in/ ,pradeep@thanos.in,1
55,Skycart," Autonomous Vehicles, Drones, Logistics, Robotics, Shipping, Software",United States,Skycart builds drone delivery solutions to help companies reduce shipping costs.,"132,544", www.skycart.net ,—,2
56,Insights," Analytics, Consulting, Drones, Legal, Robotics, Software",Germany,Drone Industry Insights is the leading market research company on commercial drones.,"132,804", www.droneii.com ,info@droneii.com,1
57,Aeronautics," Aerospace, Autonomous Vehicles, Drones",United States,"Applied Aeronautics builds affordable, long range drones for government, emergency response and commercial customers around the globe.","133,920", www.appliedaeronautics.com ,info@appliedaeronautics.com,3
58,Systems," Battery, Drones, Energy, Manufacturing, Renewable Energy, Robotics, Solar",Singapore,HES Energy Systems is regarded as one of the most advanced fuel cell and hydrogen storage technology developers in the world.,"134,255", www.hes.sg/ ,contact@hes.sg,1
59,Ltd," Aerospace, Cloud Computing, Cloud Data Services, Drones, Private Cloud, Software",United Kingdom,We provide cloud and on premise solutions to make the world’s aviation data accessible and easy to use,"135,826", www.snowflakesoftware.com ,info@snowflakesoftware.com,1
60,Hungry," Drones, E-Commerce, Fashion, Lifestyle, Product Design, Retail",United States,"Gear Hungry provides the latest in men's gadgets, gear and lifestyle products","137,576", www.gearhungry.com ,—,—
61,Tarsier," B2B, Computer Vision, Drones, Homeland Security, National Security, Physical Security, Security, Software",United States,"Tarsier develops optical-based drone detection and tracking systems for elite military, government, and commercial users.","139,611", www.tarsier.co/ ,contact@tarsier.co,1
62,INC.," Computer, Consumer Goods, Drones, Electronics, Manufacturing",Hong Kong,Distributor and manufacturer of innovative technology based consumer electronics products.,"141,345", www.argon40.com ,cs@argon40.com,—
63,Loctek," Consumer Goods, Drones, Electronics, Hardware, Manufacturing",United States,"Loctek designs and manufactures quality monitor mounts, TV mounts, TV carts, laptop mounts and tablet stands","145,313", loctek.us ,info@loctek.us,—
64,Hylio," Aerospace, Agriculture, AgTech, Delivery, Drone Management, Drones, Farming, Logistics",United States,Hylio provides agricultural UAV services,"147,180", www.hyl.io/ ,contact@hyl.io,—
65,Sensors," Drones, Information Technology, Robotics, Sensor",United States,World Leaders in Intelligent Drone Detection & Surveillance,"148,408", www.gryphonsensors.com ,inquiries@gryphonsensors.com,—
66,Skymatics," Agriculture, Analytics, Big Data, Computer Vision, Database, Drones, InsurTech",Canada,Drone based data analysis company,"148,479", www.skymatics.com ,info@skymatics.com,2
67,Tuxera," Consumer Electronics, File Sharing, Flash Storage, Information Technology, Internet of Things, Linux, Software",Finland,Tuxera is the leading provider of embedded storage management software and networking technologies.,"149,384", www.tuxera.com ,info@tuxera.com,—
68,Technologies," Drones, Information Technology, Security",United States,PGN Drone Technologies mission is to design beautiful drone technology that saves lives.,"149,582", www.pgndrones.com/ ,ray@cloudsystemsdevelopment.com,1
69,Bodum," Consumer Goods, Drones, Retail, Virtual Reality",Switzerland,"Bodum is a consumer goods company offering glassware, dinnerware, and kitchen appliances.","149,915", bodum.com ,—,—
70,Skysense," Aerospace, Drones, Robotics",Germany,"Skysense is a drone charging infrastructure provider, with clients including NASA, enterprises and government entities.","149,974", skysense.co ,—,2
71,LLC," Drones, Electronics, Manufacturing, Software",United States,"Industrial-grade CNC designs, brushless motors, and components for UAS, multi-rotor, drone, and single-rotor applications.","150,072", www.kdedirect.com/ ,leslie@kdedirect.com,1
72,Company, Aerospace,United States,"Sabrewing Aircraft Company is developing a new generation of heavy-duty drones, with the first production unit being showcased.","150,102", www.sabrewingaircraft.com/ ,—,—
73,Wireless," Consumer, Consumer Electronics, Drones, Electronics, Wireless",United States,Amped Wireless offers long range wireless consumer and business communication products for the home and office.,"150,508", ampedwireless.com ,customerservice@ampedwireless.com,—
74,Systems," Computer Vision, Drones, Industrial Automation, Machine Learning",India,"SensoVision is a technology development and consulting start-up in the domain of Computer Vision, Machine Learning & Drone Autonomy.","150,835", sensoviz.com/index.html ,info@sensoviz.com,2
75,Technology," Cyber Security, Drones, Information Technology, Robotics, Security, Software, Wearables",Denmark,Lorenz Technology works with drone monitoring security / inspection tasks in particular industrial and port areas.,"151,074", www.lorenztechnology.com/en/ ,info@lorenztechnology.dk,2
76,SeaDrone," Drones, Marine Technology, Photography, Robotics, Video",United States,SeaDrone reduces subsea lifecycle infrastructure inspections costs,"152,209", seadronepro.com/ ,emoreno@orobotix.com,2
77,I," Aerospace, Drones",United States,Area-I offers a unique combination of analytical and practical experience with an emphasis in unmanned aerial systems.,"153,670", areai.aero ,info@areai.aero,—
78,Sky," E-Commerce, Photography, Solar",India,WeDoSky is a UAV - Aerial Data company that uses Drones & Computer Vision to generate intelligence from the air.,"154,300", wedosky.com/ ,contact@wedosky.com,1
79,Systems," Artificial Intelligence, Electrical Distribution, Machine Learning",Canada,AltumView strives to be a respectable leader in the research and development of artificial intelligence (AI) technology.,"155,596", altumview.com ,contact@altumview.com,—
80,Aviation, Aerospace,India,"Drona Aviation are Provides drone based solutions like aerial cinematography, crowd monitoring etc.","158,975", dronaaviation.com ,info@dronaaviation.com,1
81,Drones), Drone Management,United Arab Emirates,"FEDS brings the world's best commercial drone technology to the Middle East, first to setup in the ME.","158,979", feds.ae ,info@feds.ae,1
82,Innovation," Drones, Water",United States,Loreto Innovation provides aerial and submersible hybrid drones that give clients the best opportunity to research and treat water,"159,568", loreto.co ,—,—
83,HardDrones," Drones, Industrial Automation, Robotics",Chile,HardDrones is a company dedicated to the capture and analysis of flight data automatically using drones,"159,692", www.harddrones.com/ ,—,1
84,Ltd," Drones, Film, Photo Editing, Photography, Video, Video Editing",United Kingdom,AJ-Drone Ltd is a photography and videography business.,"162,531", www.ajdrone.uk ,contact@ajdrone.uk,1
85,Embention," Aerospace, Drones, Manufacturing",Spain,A high reliability component manufacturer for UAVs and drones.,"164,647", www.embention.com ,embention@embention.com,1
86,Inc.," Analytics, Artificial Intelligence, Computer Vision, Drones, Logistics, Robotics, Video, Warehousing",United States,Intelligent Flying Machines develops systems that maximize inventory accuracy and unleash productivity in the workforce.,"166,007", ifm-tech.com ,web@ifm-tech.com,1
87,Electronics," Consumer Goods, Drones, Electronics, Manufacturing, Real Estate",Algeria,We are one professional home appliances manufacturer which our hq located in algeria.,"166,140", www.condor.dz/en/ ,—,—
88,Wiral," Consumer Electronics, Drones, Hardware, Product Design, Sports",Norway,Wiral is introducing new and extreme angles to filming in challenging areas by making the first ever lightweight cable cam system.,"166,437", www.wiralcam.com/ ,hello@wiralcam.com,4
89,Airpix, Aerospace,India,"Airpix is a drone / unmanned aerial systems startup based in Navi Mumbai, India.
","166,891", airpix.in ,contact@airpix.in,—
90,West," Aerospace, Autonomous Vehicles, Drones",United States,Aero Systems West creates UAVs that last. They offer fixed-wing and multirotor drones designed for long flights and durability.,"167,156", www.aerosystemswest.com/ ,info@aerosystemswest.com,3
91,Ubergizmo," Computer, Consumer, Drones, Hardware, Information Services, News",United States,"Ubergizmo.com is a technology blog that features reviews, news, and tutorials on consumer technology products.","168,029", www.ubergizmo.com/ ,contact@ubergizmo.com,—
92,Limited," Drones, Information Technology",United Kingdom,Innovair Limited provides Professional Land Surveying services throughout Aberdeenshire utilising the latest in UAV (drone) technology.,"168,261", www.innovair.co.uk/ ,info@innovair.co.uk,—
93,Aviation," Drones, Software",Norway,GRIFF Aviation: creators of UAS for the most demanding professional users.,"168,504", griffaviation.com/ ,eu@griffaviation.com,1
94,Syma," Drones, Manufacturing",China,Syma is a manufacture of radio controlled drones and quadcopters.,"168,775", www.symatoys.com/ ,syma@symatoys.com,—
95,Technology, Drones,Turkey,"Hacettepe Technology is a company that develops projects focused on innovation, especially in the field of unmanned aerial vehicles.","772,735", www.hacettepetargem.com/ ,info@hacettepetargem.co,—
96,LittleSmartThings," Aerospace, Drones",Denmark,LittleSmartThings aim is to deliver the best areal solution for professional use.,"775,838", littlesmartthings.com/ ,info@littlesmartthings.com,—
97,Aerial," Drones, Photography",United States,Atmosphere Aerial professional drone aerial photography and video service.,"777,572", atmosphereaerial.com ,info@AtmosphereAerial.com,—
98,Memory," Consumer Goods, Drones, Fitness", — ,"Idol Memory specializes in premium USB flash drives, bluetooth audio, fitness consumer products, accessories and smartphone apps.","780,049", www.idolmemory.com/ ,—,—
99,Advector," Drones, Manufacturing",Colombia,Advector provide specialized aerial photography and video services with low costs and high availability.,"780,980", www.advector.co/ ,info@advector.co,—
100,Inc," Drones, Information Technology",United States,Aerial Backup provides the Online Image Processing technology for the UAV industry.,"781,926", www.aerialbackup.com ,hi@aerialbackup.com,—
101,Dronimages," Drones, Video, Virtual Reality",France,Dronimages specializes in audiovisual services of aerial videos by professional drone and with the use of modern technologies.,"782,525", www.dronimages.com/fr ,contact@dronimages.com,—
102,99DRONES," Brand Marketing, Drones, Robotics",The Netherlands,99drones.com is a professional one stop resource for up to date drone info at your fingertips,"784,263", www.99drones.com/ ,support@99drones.com,1
103,Jib," Aerospace, Drones",Canada,"Infinite Jib™ Inc. designs, manufactures and markets Unmanned Aerial Systems for professional, commercial and industrial application","788,256", infinitejib.com/ ,Sales@infinitejib.com,—
104,AeroShutter, Drones,Ghana,AeroShutter is a Creative Drone Agency / UAV Data Solutions Service Provider.,"789,338", aeroshuttergh.com ,info@example.com,1
105,Skartum," Construction, Document Management, Drones",Norway,"Skartum offers construction stitching, documentation, drone mapping and scanning services.","792,106", www.skartum.no/ ,post@skartum.no,—
106,(FPDC), Consumer Goods, — ,"The FPDC is one of the largest professionnal UAV associations worldwide, with 300+ members and extensive panel of French companies.","792,244", www.federation-drone.org/ ,contact@federation-drone.org,—
107,Air, Drones,United States,Sentinel Air is a full service aerial support company.,"793,553", www.sentinel-air.com ,contact@sentinel-air.com,—
108,LLC," Drones, Manufacturing",United States,"Engineering services for the aviation, unmanned aircraft system (UAS) and space industries ","794,478", www.daytongreenmachines.com ,cnick@daytongreenmachines.com,1
109,LLC," Drones, Electronics",United States,"Pilots with decades of experience facilitate the registration process for those seeking FAA for drones, sUASs and UAVs.","794,604", www.gowdybrothers.com/ ,info@gowdybrothers.com,—
110,Unlimited," Drones, Photography",United States,Drones Unlimited is the most affordable royalty based license solution for drone entrepreneurs. ,"796,966", www.dronesunltd.com/ ,Bryan@Dronesunltd.com,—
111,Wolf," Automotive, Drones, Logistics, Manufacturing",South Africa,"Desert Wolf manufactures and supplies a wide range of trailers, and complete military and commercial mobile surveillance solutions.","798,602", www.desert-wolf.com/dw/ ,—,—
112,Johnson-Laird," Aerospace, Drones, Software",United States,Johnson-Laird provides forensic software analysis and technical services.,"798,945", www.jli.com/ ,kay@jli.com,—
113,Polidrone," 3D Technology, Drones, Photography",France,"Polidrone offers drone services, 3D modelling, surveillance, mapping, photography and videography.","800,322", www.polidrone.com ,herve.polidor@polidrone.com,—
114,Inc.," Drones, Electronics, Manufacturing, Mechanical Engineering",United States,Impyrium creates solutions to move things in a 3D World,"803,791", www.impyrium.com ,—,1
115,Pictures," Drones, Video Streaming",France,"Drone Sky Pictures is a drone company that offers services such as drone manufacture, video streaming and videography.","805,739", www.droneskypictures.com ,info@droneskypictures.com,—
116,Media," Consumer Goods, Drones, Electronics, Virtual Reality", — ,Bermuda's leading aerial photography company.,"807,669", www.bermudaaerial.com ,info@bermudaaerial.com,—
117,Lcom," Drones, Photography, Web Design",France,"Lcom is a web agency that offers drone photography and videos, web creation, web writing and 3D graphic services.","810,328", www.lcom-drone.fr ,infos@lcom-drone.fr,—
118,Services," Drones, Transportation",United States,National ISR Services is aa aerospace defense company that specializes in unmanned drone technology.,"818,242", www.national-isr.com ,—,—
119,Academy," Drones, Training, Vocational Education",United States,Provides vocational training to veterans who are willing to transition to a civilian career in the drone industry.,"824,973", www.calso.co/dronesngood.html ,contact@calso.co,—
120,Pro-Visint," Business Intelligence, Computer, Consumer Electronics, Crowdsourcing, Drones, Software, Video", — ,Pro-Visint is a well-regarded company in the ISR and Visual Intelligence arena.,"826,454", pro-visint.com/ ,contact-us@pro-visint.com,2
121,Imaging," Aerospace, Drones",United Kingdom,LUNAR Aerial Imaging creates compelling imagery using drones.,"827,044", www.lunar-ai.com ,office@lunar-ai.com,2
122,Films," Drones, Film, Video",France,"Claude Reynier Video Films renders motion design video production, corporate films, event films, product videos and drone shoots.","830,255", www.video-communication.com ,contact@video-communication.com,—
123,iSkyView, Marketing,United States,"Fly Guys, owned by iSkyView LLC is a company comprised of federally compliant drone pilots, professional photographers, computer............","833,264", iskyviewllc.com ,thandley@iskyviewllc.com,1
124,Rycon," Civil Engineering, Consulting, Drones",Norway,"Rycon offers civil engineering services such as consulting, surveying, mapping, 3D illustrations, drone flights and offers consultation.","835,169", www.rycon.as/ ,aksel@rycon.as,—
125,International," Aerospace, Drones",United States,"AeroTargets International specializes in the design and manufacture of high-performance aerial target, UAS/UAV's, Counter-UAS systems.","837,981", aerotargets.com/ ,info@aerotargets.com,—
126,Array," Consumer Electronics, Drones, Information Technology, Robotics, Software", — ,Aerial Array is a technology company specializing in software development and geographic data collection using Unmanned Aerial Systems.,"841,722", aerialarray.com/ ,contact@aerialarray.com,1
127,LLC," Mobile, Software, Web Development",United States,Unmanned aerial robotics (UAS/UAV) hardware and software engineering,"842,338", irixmedia.com ,vo@irixmedia.com,1
128,Aerial," Digital Entertainment, Drones, Software, Wearables", — ,Bakehouse Aerial help production companies and corporates to get amazing drone film footage.,"843,218", www.bakehouseaerial.co.uk ,hello@bakehouseaerial.co.uk,—
129,Zomp, Drones,United Kingdom,Zomp is a provider of consumer electronics.,"847,078", www.zomp.net ,enquiries@zomp.net,—
130,Zulubots," Consumer Goods, Drones, Hardware, Robotics", — ,Zulubots is a consumer robotics company that focuses on the design and fabrication of assistive robots for the home.,"848,790", www.zulubots.com ,—,—
131,Solutions, Drones,United States,Simulcast Solutions Your Source of Products & Technical Guidance for Seamless Narrowband Public Safety Simulcast.,"852,173", simulcastsolutions.com/ ,sales@simulcastsolutions.com,—
132,inc," Computer, Drones",United States,Bay Area company that focuses on the development of drone technologies to disrupt established markets.,"853,801", hyvedrone.com ,contact@hyvedrone.com,1
133,Aerospace," Drones, Manufacturing",United States,"Chaney Aerospace is provider of drones, ground control stations, and transmitter.","859,237", www.chaneyaerospace.com/ ,inquiries@chaneyaerospace.com,—
134,WDITT," Consumer Goods, Drones, E-Commerce, Retail", — ,WDITT is an innovation company which brings new products to market for consumer needs.,"859,790", www.wditt.com ,—,1
135,Canmap," Consumer Goods, Drones, Government, Information Technology, Manufacturing, Software",Canada,"J.R. Canadian Mapping is a mapping firm delivering innovative mapping solutions for industry, government, and the private sector.","860,465", www.jrcanmap.com/ ,—,—
136,VYRTUCOM, Drones,Spain,VYRTUCOM,"867,354", www.vyrtucom.com/ ,—,—
137,Frames, Drones,Spain, The Flying Frames is a audiovisual production company specializing in the production of aerial video by cablecam and drones.,"868,105", theflyingframes.com/ ,info@theflyingframes.com,—
138,DroneLilly, Drones,Canada,"DroneLilly Find Drone Pilots & Editors Worldwide for your productions, weddings, real-estate shoots and more.","868,364", www.dronelilly.com/ ,contact@dronelilly.com,—
139,Consulting," Consumer Goods, Drones",United States,BIG is proud to work with and represent some of the best brands in consumer electronics.,"874,274", www.thebigcorp.com ,info@thebigcorp.com,1
140,S.A.S.," Civil Engineering, Drones",Colombia,"Dymaxion S.A.S. is a Generation of digital elevation, terrain and surface models, using unmanned aerial vehicles.","874,926", dymaxion.co/ ,info@dymaxion.co,—
141,HD," Drones, Photography, Video",France,"Fly HD is a drone company that offers a complete range of aerial imagery, video, compliance and thermography services.","878,061", www.flyhd.fr ,contact@flyhd.fr,—
142,Aalten," E-Commerce, Photography, Retail, Video",The Netherlands,"FotoShop Aalten is an online shop that supplies video and photography accessories such as drones, cameras, tripods, binoculars and flashes.","888,003", www.fotoshopaalten.nl ,sales@fotoshopaalten.com,—
143,SimulTALK," Computer, Drones, E-Commerce",United States,SimulTALK offers unique gadgets at affordable prices.,"889,790", www.simultalk.com/ ,—,—
144,Productions," Aerospace, Drones, Photography",United Kingdom,Emmerson Productions – Remote Aerial Filming and Photography Specialists.,"890,561", emmersonproductions.com/ ,Enquire@emmersonproductions.com,—
145,Dropcases," Consumer Goods, Drones, Electronics",Germany,Dropcases is a consumer products company focused on building accessories for large platforms.,"300,134", dropcases.com/ ,support@dropcases.com,—
146,Aviation," Aerospace, Government, GovTech",United States,"Lehmann Aviation develops UAVs for commercial and government applications, including L-M Series and L-A series of fully automatic drones.","304,992", www.lehmannaviation.com/ ,info@lehmannaviation.com,1
147,Company," Aerospace, Drones",The Netherlands,Dutch Drone Company provide Legal and safe drone inspections and innovative solutions.,"306,230", www.dutchdronecompany.com/ ,info@dutchdronecompany.com,1
148,Services," Computer, Drones, Real Estate",United States,"Providing drone services for Film & TV, Real Estate, Industrial & Utility Inspections.","307,157", www.flyworx.co/ ,—,—
149,Techgage," Computer, Consumer Electronics, Drones, Events, Hardware, Information Technology, News, Publishing, Virtual Reality",Canada,"Techgage, an independent technology news website providing information related to PC hardware, software, and consumer electronics.","308,141", techgage.com/ ,admin@techgage.com,—
150,Technologies," Aerospace, Drones, Industrial Engineering, Information Technology, Robotics",United States,Black Swift Technologies is an engineering firm working on small unmanned aircraft for scientific and commercial uses.,"310,190", approvedflight.com/ ,info@blackswifttech.com,—
