,Company Name,Use,Country,Description,Url,Email,Founders,Found Date,t1,t2,t3,t4,t5,t6,t7
14,Dotta," Education, Higher Education, Information Technology, Risk Management, Software",United States,Terra Dotta is a software that manages the application process and streamlines operations for educational institutions and businesses., www.terradotta.com/ ,info@terradotta.com,2,2001,—,—,—,—,—,—,—
15,Group," Enterprise Software, Information Services, Information Technology, Professional Services",Nigeria,Venture Garden Nigeria is a holding company for a group of financial technology entities., venturegardengroup.com/ ,abang.betty@venturegardengroup.com,1,2010,—,—,—,—,—,—,—
16,ZAPIENS," Education, Enterprise Software, Information Technology, Knowledge Management, Natural Language Processing, Productivity Tools, SaaS, Software",Spain,Improving teams productivity with knowledge, zapiens.ai ,info@zapiens.ai,2,Apr 2015,—,—,—,—,—,—,—
17,Vivvi," CRM, Education, Information Technology",United States,Vivvi provides an infant and toddler and preschool program designed to equip their children with a lifelong love of learning., www.vivvi.co/ ,hello@vivvi.co,2,2018,—,—,—,—,—,—,—
18,Solutions," Education, Information Technology, Software",United States,TITAN School Solutions is a school nutrition software and services provider to K-12 school districts., www.titank12.com ,hello@titank12.com,1,"May 1, 2014",—,—,—,—,—,—,—
19,Benetech," EdTech, Enterprise Software, Information Technology, Non Profit, Software",United States,Benetech is a nonprofit that empowers communities with software for social good. , benetech.org/ ,info@benetech.org,1,1991,—,—,—,—,—,—,—
20,Mersive," Analytics, Collaboration, Information Technology, Software",United States,"Mersive is a provider of wireless media streaming and collaboration software for corporate, education, and government markets.", www.mersive.com ,kboertman@mersive.com,2,2006,"Jan 16, 2018",—,—,—,—,—,—
21,RangeForce," Cyber Security, Information Technology, SaaS, Security, Software, Training",United States,"The world's most comprehensive cybersecurity simulation & skills training platform for SOC, DevOps, AppSec teams.", rangeforce.com ,info@rangeforce.com,4,"Jul 20, 2015",—,—,—,—,—,—,—
22,Entic," Analytics, Cloud Computing, Energy Efficiency, Enterprise Software, Information Technology, Internet of Things, SaaS",United States,Entic is a SaaS technology company driving operational efficiency in commercial buildings through IOT & Prescriptive Analytics, www.entic.com ,info@enticusa.com,2,"Jan 19, 2011","Mar 6, 2019",—,—,—,—,—,—
23,Helper," Education, Higher Education, Information Technology, Software, Training",United States,EnglishHelper Technologies Pvt. Ltd was established in 2009 and is a wholly owned subsidiary of the Boston-based EnglishHelper Inc., englishhelper.com ,info@englishhelper.com,2,2009,—,—,—,—,—,—,—
24,Factory," Education, Financial Services, FinTech, Information Technology, Personal Finance, Software",United States,"Financial Literacy Education Technology Games, Curriculum, and FinTech Products", www.Getwealthylife.com ,info@getwealthylife.com,3,"Feb 27, 2013",—,—,—,—,—,—,—
25,Unifyed," Apps, Education, Higher Education, Information Technology",United States,"Unifyed is a cloud-based, next generation student information system provider serving over seven million students in seven countries.", www.unifyed.com ,engage@unifyed.com,—,"May 10, 2017",—,—,—,—,—,—,—
26,Education," EdTech, Education, Information Technology, Software, STEM Education",Hong Kong,"Integrate technology education with every teacher and student in every school with curriculum, software and training.", www.bsd.education ,info@bsd.education,3,Sep 2013,—,—,—,—,—,—,—
27,solutions," E-Learning, Education, Enterprise Software, Information Technology, SaaS, Software",United States,Epignosis is an eLearning solutions vendor with a mission to make premium eLearning technology accessible and affordable., www.epignosishq.com/ ,info@epignosishq.com,2,2012,—,—,—,—,—,—,—
28,DevSkiller," Employment, Information Technology, Recruiting, Skill Assessment",Poland,DevSkiller is a developer screening and online interview platform powered by RealLifeTesting™ methodology., devskiller.com ,hello@devskiller.com,5,"Aug 2, 2013",—,—,—,—,—,—,—
29,Xi," EdTech, Education, Information Technology, Online Portals",Australia,Providing people with tech-based programs to help them upskill and reinvent their careers., academyxi.com/ ,change@academyxi.com,2,"Dec 20, 2015",—,—,—,—,—,—,—
30,BigProfiles," Business Intelligence, Information Technology, SaaS",Italy,BigProfiles is a Customer Intelligence SAAS that leverages external information about persons to enrich customer profiling., bigprofiles.it ,info@bigprofil.es,2,Jan 2017,—,—,—,—,—,—,—
31,Centres," E-Learning, Education, Information Technology",India,Avanti creates affordable blended-learning classroom programs where students learn better by working together., www.avanti.in ,info@avanti.in,1,"Nov 7, 2012",—,—,—,—,—,—,—
32,Kickboard," Analytics, Education, Information Technology, Software",United States,"Software for school culture, classroom management, standards-based grading, formative, and summative assessment data analysis.", www.kickboardforteachers.com ,info@kickboardforschools.com,1,2009,—,—,—,—,—,—,—
33,Skillo," Education, Information Technology, Software",India,Learn a new Skill Today!, skillopro.com ,sugandh@skillopro.com,2,2016,—,—,—,—,—,—,—
34,MedShr," Health Care, Information Technology, Medical",United Kingdom,MedShr facilitates an online network that enables doctors to connect and share data and knowledge with each other., medshr.net ,asif@medshr.net,2,"Sep 1, 2013",—,—,—,—,—,—,—
35,Labs," Information Technology, Management Information Systems, Non Profit",United States,Bunker Labs provides a peer-learning environment for veteran entrepreneurs., bunkerlabs.org/ ,info@bunkerlabs.org,7,2014,—,—,—,—,—,—,—
36,Wisr," Education, Enterprise Software, Information Technology",United States,Wisr is higher education’s leading knowledge sharing platform., www.getwisr.com ,info@wisr.io,3,"Mar 2, 2016",—,—,—,—,—,—,—
37,VoiceTube," Education, Information Technology, Knowledge Management, Language Learning",Taiwan,"VoiceTube is an English learning platform, which transcends traditional English education with innovative technology.", www.voicetube.com ,richard@voicetube.com,2,"May 29, 2013",—,—,—,—,—,—,—
38,Apisero," Consulting, Information Technology",United States,Apisero is a Premier MuleSoft Consulting Partner and the trusted source of MuleSoft platform solutions, apisero.com ,hello@apisero.com,—,Apr 2016,—,—,—,—,—,—,—
39,Solides," Consulting, Education, Human Resources, Information Technology, SaaS, Skill Assessment, Software, Training",Brazil,Solides is an HR behavioral management software that increases employee productivity and reduces turnover costs., www.solides.com.br ,alessandro@solides.com.br,2,"Oct 10, 2013",—,—,—,—,—,—,—
40,CompTIA," Education, Information Services, Information Technology, Non Profit",United States,Computing Technology Industry Association focuses on advancing the growth of the information technology industry., www.comptia.org ,info_rsa@comptia.org,—,1982,—,—,—,—,—,—,2
41,MLevel," E-Learning, EdTech, Information Technology, Software",United States,MLevel is a digital learning platform that offers a microlearning solution focusing on skill application., www.mlevel.com/ ,info@mlevel.com,1,2015,—,—,—,—,—,—,—
42,GeckoLabs," Computer, EdTech, Education, Information Technology, Marketing, Software",United Kingdom,Gecko Labs provides software to the Higher Education sector to improve the way insitutions engage with their students., geckoengage.com/ ,support@geckoengage.com,1,"Aug 8, 2012",—,—,—,—,—,—,—
43,ValueFirst," Communications Infrastructure, Information Technology, Messaging, SMS, Telecommunications, Virtual Reality",India,ValueFirst connects businesses with their consumers over telecom and internet channels., www.vfirst.com ,info@vfirst.com,1,Oct 2003,—,—,—,—,—,—,—
44,Systems," Analytics, Education, Enterprise Software, Information Technology, Internet, Predictive Analytics",United States,LoudCloud is a learning ecosystem creating an intelligent platform built on behavioral analytics for teaching and learning., www.loudcloudsystems.com ,contactus@loudcloudsystems.com,2,"Feb 1, 2010","Mar 8, 2016",—,—,—,—,—,—
45,Unsilo," Analytics, Education, Information Technology, Internet, Natural Language Processing, Search Engine, Software",Denmark,UNSILO is an online service offering tools that help researchers and IP professionals search patents and academic papers., unsilo.ai/ ,tmrl@unsilo.com,2,"Jun 1, 2012","Jan 28, 2020",—,—,—,—,—,—
46,Kadenze," Education, Information Technology, Internet, Software",United States,Kadenze is a Valencia-based company that operates in the technology industry., kadenze.com/ ,social@kadenze.com,6,2013,—,—,—,—,—,—,—
47,Osterus," Big Data, Business Intelligence, Human Resources, Information Technology, Software",Germany,"Osterus analyses resumes, finding and understanding non-traditional data signals", osterus.com ,contact@osterus.com,1,2019,—,—,—,—,—,—,—
48,IT," Business Development, Business Intelligence, Finance, Financial Services, Information Technology",South Africa,Adapt IT Holdings Limited is an innovative Johannesburg Stock Exchange (JSE) listed ICT Company based in South Africa., www.adaptit.co.za ,sales@adaptit.co.za,—,1996,"Mar 28, 2008",—,—,—,—,—,—
49,NameCoach," Education, Higher Education, Information Technology, Internet, Software, Universities",United States,"NameCoach aims to solve a single, common problem: name mispronunciation, especially in important life settings.", www.name-coach.com/ ,info@name-coach.com,1,2014,—,—,—,—,—,—,—
50,Quantics," Analytics, Artificial Intelligence, Fitness, Health Care, Health Diagnostics, Information Technology, Intelligent Systems, Telecommunications, Wellness",Hong Kong,Biorna Quantics provides a digital intelligence solution for the future of human optimization., www.biorna-quantics.com ,info@biorna-quantics.com,1,May 2015,—,—,—,—,—,—,—
51,Code4Startup," Apps, EdTech, Education, Information Technology, iOS, Software",Australia,Code school for anyone who has an idea and want to build their own startup app. Learn to code by creating Real-life Startup projects, code4startup.com ,—,1,"Feb 5, 2015",—,—,—,—,—,—,—
52,CarambolaTech," E-Learning, EdTech, Education, Information Technology, Social Entrepreneurship, Software, STEM Education",Brazil,"Diverse IT Platform: team building, training and management", www.carambola.com.vc ,renato@carambola.com.vc,2,"Nov 22, 2013",—,—,—,—,—,—,—
53,Path," Information Technology, Simulation, Training",United States,Change My Path enables companies to create 3D simulations for employee training.,—,—,1,2014,—,—,—,—,—,—,—
54,FXhome," Broadcasting, Information Technology, Social Media, Software, Video Editing, Web Design",United Kingdom,"FXHOME designs accessible, technologically advanced and high quality software products.", fxhome.com/ ,info@fxhome.com,1,2001,—,—,—,—,—,—,—
55,Campus," E-Learning, Education, Information Technology",United States,iSchool Campus offers collaborative learning environments that enable school students to access technology and information., www.ischoolcampus.com ,info@ischoolcampus.com,—,2010,—,—,—,—,—,—,—
56,Medical," Digital Entertainment, Health Care, Hospital, Information Technology, Medical, Medical Device, Video",United States,Carrot Medical offers solutions that integrate audio and visual data to advance interventional labs., www.carrotmedical.com ,info@carrotmedical.com,—,2007,—,—,—,—,—,—,—
57,Charter," Information Technology, Telecommunications, Virtual Reality",Canada,"An award-winning provider of technology solutions and services for business, government, healthcare and education.", charter.ca/ ,info@charter.ca,—,1997,—,—,—,—,—,—,—
58,A.Ş.," Education, Information Technology, Mobile, Software",Turkey,"Bilişim İnovasyon A.Ş. is an IT company that operates in the field of education, mobile technologies, and software development.", www.bilisim-inovasyon.com.tr ,—,—,2008,—,—,—,—,—,—,—
59,HackHub," Big Data, Business Information Systems, EdTech, Human Resources, Information Services, Information Technology",Canada,HackHub brings professional online hackathon experience to worldwide developers and designers., hackhub.com ,info@hackhub.com,1,"Aug 15, 2016",—,—,—,—,—,—,—
60,Youdao," Big Data, Education, Information Services, Information Technology, Internet, Search Engine, Software",China,Youdao is a search engine released by Chinese internet company NetEase., www.youdao.com/ ,—,—,2007,"Oct 24, 2019",—,—,—,—,—,—
61,Epaathsala," Information Technology, Software",India,Epaathsala is a cloud based ERP software for accreditation and ICT solutions., epaathsala.com/ ,—,2,Jun 2014,—,—,—,—,—,—,—
62,UEIS," Education, Information Technology, Software, Training",United States,UEIS offers decision making tools to support schools and districts in meeting their academic and programmatic goals., ueiscorp.com/ ,support@ueisworkshop.com,1,2010,—,—,—,—,—,—,—
63,TurnToTech," EdTech, Education, Information Technology, Software",United States,TurnToTech is a software company with a focus on software education., turntotech.io/ ,nyc@turntotech.io,2,"Jul 15, 2013",—,—,—,—,—,—,—
64,Infrastructure," Computer, Education, Information Technology, Search Engine",Australia,"Australia's high-performance supercomputer, cloud and data repository.", nci.org.au/ ,nci.national.facility@gmail.com,—,2007,—,—,—,—,—,—,—
65,Research," Cloud Data Services, Information Technology, SaaS",United States,9Star Research provides internet single sign-on (SSO) and cloud identity security solutions., www.9starinc.com ,sales@9starinc.com,—,2002,—,—,—,—,—,—,—
66,Inc.," EdTech, Information Technology, Software, Training, Web Development",United States,Praadis Technologies Inc. is a one-stop IT company delivering best-in-class software solutions viz., praadiscg.com ,info@praadiscg.com,2,"Jun 26, 2012",—,—,—,—,—,—,—
67,AdmitKard," Analytics, Education, Higher Education, Information Technology, Mobile Apps",India,At AdmitKard we aspire to make global education accessible to every student through the application of digital data and analytics., www.admitkard.com ,info@admitkard.com,2,"Nov 15, 2016",—,—,—,—,—,—,—
68,iSolutions," Consulting, Information Technology, Software, Training",United States,"iSolutions is a FileMaker consulting, training, and development firm that provides PHP development, MySQL development, and Flash animation.", isolutions-inc.com/ ,cris@isolutions-inc.com,1,1997,—,—,—,—,—,—,—
69,Solutions," Information Services, Information Technology, Internet, Service Industry, Software",United States,ABOVE Solutions is a technology company focused on providing applications and services for the emerging technology marketplace., above-inc.com ,info@above-inc.com,1,"Jul 1, 2008",—,—,—,—,—,—,—
70,AutonoMe," E-Learning, Information Technology, Language Learning",United Kingdom,AutonoMe is a support provider delivering independent living skills to people with learning disabilities., www.autono.me.uk/ ,info@autono.me.uk,1,2015,—,—,—,—,—,—,—
71,Watermark," Analytics, Artificial Intelligence, Big Data, EdTech, Education, Information Technology, Software",United States,"By providing innovative technology you can trust, Watermark empowers institutions with better data to improve learning.", www.watermarkinsights.com ,info@watermarkinsights.com,1,2018,—,—,—,—,—,—,—
72,Proof," Developer Platform, Developer Tools, Information Technology, Mobile, SaaS, Skill Assessment, Software",United States,Patent-pending technology to allow for proof of concept prototyping via a networked hackathon.  Adding PaaS shortly with more features., www.24proof.com ,gene@24proof.com,1,Jan 2015,—,—,—,—,—,—,—
73,MyActivityPal," Education, Information Services, Information Technology, Messaging, Software, Web Hosting",United States,MyActivityPal has been founded by Abhay Vardhan and Ike Singh. Ike Singh worked at Microsoft for 7 years in the Mobility team focused on, www.myactivitypal.com ,info@myactivitypal.com,1,2014,—,—,—,—,—,—,—
74,Labs," Education, Higher Education, Information Technology, Non Profit",United States,Seeding Labs creates opportunities for scientists in the developing world to conduct world-class research., seedinglabs.org ,info@seedinglabs.org,1,2007,—,—,—,—,—,—,—
75,Science," Analytics, Information Technology, Machine Learning, Service Industry, Software, Training",United States,"Predictive Science is a software, services, and training company", predictivescience.com/ ,info@predictivescience.com,1,2013,—,—,—,—,—,—,—
76,Learnhive," EdTech, Education, Information Technology, Software",India,"Learnhive is a provider of technology-based learning solutions for K12 students, parents, and tutors.", learnhive.net ,info@learnhive.net,4,"Dec 8, 2010",—,—,—,—,—,—,—
77,Crowdcast," Big Data, E-Learning, Information Technology, Internet of Things, Messaging, Software, Video, Video Streaming",United States,Crowdcast helps you have meaningful live interactions with your audience., www.crowdcast.io/ ,—,1,2015,—,—,—,—,—,—,—
78,Inc," Cloud Computing, EdTech, Education, Information Technology, Software",United States,"Qwickly is an integrated productivity, cloud and communication platform for learning management systems.", goqwickly.com/ ,—,2,"Apr 1, 2013",—,—,—,—,—,—,—
79,Education," Education, Information Technology",Kenya,"Eneza Education is working in Kenya, Ghana and Cote d'Ivoire using simple mobile technology, to build an educational ecosystem.", enezaeducation.com ,info@enezaeducation.com,3,2011,—,—,—,—,—,—,—
80,Edutech," Education, Information Technology, Service Industry",United Arab Emirates,"Edutech is a leading provider of learning solutions and services for academic institutions, companies and governments.", edutech.com/ ,info@edutech.com,1,1991,—,—,—,—,—,—,—
81,CollegeDaily.cn," Apps, Education, Information Technology",China,CollegeDaily.cn is a Beijing-based news and information platform targeting Chinese students studying overseas, www.collegedaily.cn/ ,—,1,2014,—,—,—,—,—,—,—
82,PHRQL," Health Care, Information Technology, Software",United States,"PHQRL Provides e-wellness management systems that deliver medical nutrition therapy, diabetes management education, and wellness counseling.", www.phrql.com/ ,contact@phrql.com,3,2011,—,—,—,—,—,—,—
83,VicThorious," Analytics, E-Commerce, Information Technology, Infrastructure, Internet, Language Learning, SaaS, Software",Belgium,VicThorious is an intelligent multi-cloud platform for enterprise applications., www.victhorious.com ,info@victhorious.com,3,"Dec 1, 2015",—,—,—,—,—,—,—
84,Company," Art, E-Learning, Education, Information Technology",United States,Rozzy Learning Company creates STEAM programs for Homeschoolers & PreK-3rd Graders., www.rozzylearningcompany.com/ ,—,2,2015,—,—,—,—,—,—,—
85,CVTrust," Information and Communications Technology (ICT), Information Services, Information Technology",Belgium,CVTrust offers the only reliable and cost effective solution for certifying and checking academic backgrounds: the Smart Diploma., www.cvtrust.com ,info@cvtrust.com,—,2010,—,—,—,—,—,—,—
86,Design," Consumer Goods, Education, Information Technology, Product Design, Retail, Social Impact",United States,Frog is a global design and innovation consultancy, www.frogdesign.com ,business@frogdesign.com,1,1969,—,—,—,—,—,—,—
87,PRANAGEO," Analytics, Data Integration, Data Visualization, Enterprise Software, Geospatial, Information Technology, PaaS, SaaS, Software",Turkey,"PranaGEO is a young Research and Development company, providing software solutions for data science projects.", pranageo.com/ ,connect@pranageo.com,4,"Apr 14, 2016",—,—,—,—,—,—,—
88,Games," 3D Technology, Education, Enterprise Software, Gaming, Health Care, Information Technology, Manufacturing, Video Games",United States,Simcoach Games develops 3D games and simulation products for workplace safety and product operations training programs., www.simcoachgames.com/ ,—,1,2005,—,—,—,—,—,—,—
89,Alpha," EdTech, Education, Information Technology, Real Time",United States,Wolfram Alpha offers a computational knowledge engine that provides answers to users based on built-in data and algorithms., www.wolframalpha.com ,—,2,"May 18, 2009",—,—,—,—,—,—,—
90,Solutions, Information Technology,United States,"XCM enables you to adapt to new requirements, manage changing resources, measure productivity, and ultimately optimize your business.", www.xcmsolutions.com/ ,—,—,2002,"Sep 14, 2020",—,—,—,—,—,—
91,Technologies," Consulting, E-Learning, Information Services, Information Technology, Legal, Transportation",India,"At Atarw, we are motivated and driven each day by clients who use our products and services to find innovative solutions", atarw.com/ ,sales@atarw.com,1,2015,—,—,—,—,—,—,—
92,Industries," E-Learning, Education, Information Technology, Internet, Software",United States,"Thought Industries' cloud-based Online Learning Platform helps deliver education, training and information for B2B and B2C organizations.", www.thoughtindustries.com/ ,explore@thoughtindustries.com,1,2012,—,—,—,—,—,—,—
93,TEKVOX," CRM, Electronics, Enterprise Applications, Information Technology, Service Industry, Software",United States,TEKVOX provides A/V solutions for teaching and collaboration that are cost effective and supportable., www.tekvox.com/ ,jimr@tekvox.com,1,2004,—,—,—,—,—,—,—
94,CogniFit," Education, Fitness, Health Care, Information Technology, Wellness",United States,Cognifit is a healthcare company developing online cognitive assessments and brain training computer programs., www.cognifit.com ,support@cognifit.com,1,1999,—,—,—,—,—,—,—
95,Intelliber," Accounting, B2B, Education, Information Technology, Social Entrepreneurship",India,Disruptive and intelligent products, www.intelliber.com ,—,4,"Mar 19, 2014","Jan 2, 2020",—,—,—,—,—,—
96,SpeechCode," Fast-Moving Consumer Goods, Government, Information Technology, NFC, Packaging Services, Pharmaceutical, Tourism",Austria,Speech Codes are printable 2D datamatrix codes containing up to 40 minutes of spoken word - offline., www.speechcode.eu ,office@speechcode.eu,4,"Dec 13, 2012",—,—,—,—,—,—,—
97,Djenee," Automotive, Consulting, Digital Media, Information Technology, Internet, Personal Development",Sweden,Djenee is a personal on-demand digital concierge service, djenee.com/ ,—,1,2015,—,—,—,—,—,—,—
98,iResult," Business Information Systems, Education, Information Services, Information Technology",United States,"iResult Developers of Impact Management Solution for leaders in education, turning abundance of data into a wealth of actionable insights.", myiresult.com/ ,—,1,"Jan 11, 2011",—,—,—,—,—,—,—
99,Express," Enterprise Software, Information Services, Information Technology",United States,"Service Express is a Third-Party Maintenance provider that specializes in data center maintenance for server, storage and network equipment.", www.serviceexpress.com/ ,customersupport@seiservice.com,—,1986,"Nov 22, 2019",—,—,—,—,—,—
100,Mogul," Enterprise Software, Information Technology, Internet, Women's",United States,"Mogul is an all-inclusive technology platform and mobile app reaching across 196 countries and 30,470 cities.", onmogul.com/ ,contact@onmogul.com,1,2014,—,—,—,—,—,—,—
101,Infrascale," Database, Enterprise Software, Information Technology, Software",United States,"Eversync Solutions provides data protection solutions for data privacy, disaster protection, and business critical applications.", www.eversyncsolutions.com ,info@eversyncsolutions.com,2,2003,—,—,—,—,—,—,—
102,Tangent," Hardware, Information Technology, Software",United States,"Tangent is a hardware company in the Silicon Valley, servicing needs for education, healthcare, government and corporations.", www.tangent.com ,yajr@tangent.com,1,1989,—,—,—,—,—,—,—
103,HIMSS," Association, Health Care, Information Technology, Non Profit",United States,"HIMSS is a global, cause-based, not-for-profit organization focused on better health through information technology (IT).", www.himss.org/ ,—,2,1993,"Oct 1, 2012",—,—,—,—,—,—
104,Cloudin," Android, Artificial Intelligence, Big Data, Education, Information Technology, iOS, Machine Learning, Predictive Analytics, Product Design",India,"Saas,Mobile App Development,Web App development,Online Education portal", www.cloudintechnologies.com/ ,sakthi@cloudinteam.com,1,"Aug 21, 2014",—,—,—,—,—,—,—
105,AxStream," Information Technology, Mobile, Training",United Kingdom,AxStream is a provider of on-site training and occasional public courses with certificates from an approved axure trainer., www.ax-stream.com ,info@ax-stream.com,—,2008,—,—,—,—,—,—,—
106,Kinexit," Fitness, Information Services, Information Technology, Sports, Training",Sweden,"Kinexit is a proven technology to tap into the talent you already have to unlock the
performance you want.", kinexit.com/ ,—,1,2014,—,—,—,—,—,—,—
107,D-Sight," Information Technology, Internet, Software, Training",Belgium,Specialist on decision-making software, www.d-sight.com ,info@d-sight.com,2,"Feb 1, 2010",—,—,—,—,—,—,—
108,Acadium," Education, Information Technology",Canada,"Acadium is making education free and accessible to anyone, anywhere.", www.acadium.com ,hello@acadium.com,4,2016,—,—,—,—,—,—,—
109,Isotrol," Information Technology, Software",Spain,Isotrol Isotrol is a nationally and internationally recognized engineering firm for supervision and control systems., www.isotrol.com ,—,—,1984,—,—,—,—,—,—,—
110,Kalakai," EdTech, Education, Information Technology, Public Relations",Chile,"Kalakai, a private social network for K-5 Spanish speaking students - Reading comprehension improvement", www.kalakai.com ,info@kalakai.com,1,2010,—,—,—,—,—,—,—
111,LLC," Education, Information Technology, Video Games",United States,TheBeamer is an indie developer of recreational and educational video games, TheBeamer.com ,—,1,"Nov 15, 2014",—,—,—,—,—,—,—
112,Capensys," Consulting, CRM, Education, Information Technology, Legal, Software, Training",United Kingdom,Capensys is a global thought-leader within the legal industry providing innovative and effective technology training., capensys.com/ ,info@capensys.com,—,2008,"Oct 13, 2020",—,—,—,—,—,—
113,Intellum," Education, Enterprise Software, Human Resources, Information Technology, SaaS, Software",United States,"Intellum is a provider of integrated brand building, web presence strategy solutions and managed services company.", www.intellum.com ,sales@intellum.com,1,"Aug 11, 2000",—,—,—,—,—,—,—
114,Software," Information Technology, Software",Ireland,Akari Software designs and develops curriculum management software for third-level institutions., www.akarisoftware.com/ ,info@akarisoftware.com,—,2010,—,—,—,—,—,—,—
115,Defense," Cloud Data Services, Cloud Security, Information Technology, Risk Management, Software",United States,A premier provider of managed security risk assessment solutions protecting billions of dollars, www.digitaldefense.com/ ,connect@ddifrontline.com,—,1999,—,—,—,—,—,—,—
116,MOM," Education, Health Care, Information Technology, Mobile",Malaysia,"A platform, a mobile app. Only for postnatal care service. Global.", www.10mom.com.my ,henrypang.up@gmail.com,2,"Jan 26, 2018",—,—,—,—,—,—,—
117,AiSolve," Computer, Information Technology",United Kingdom,"AiSolve is a virtual reality developer for gaming, entertainment and education at destinations worldwide.", www.aisolve.com ,—,1,2007,—,—,—,—,—,—,—
118,Boom," Advertising, Brand Marketing, Consulting, Digital Media, Education, Information Technology, Internet, News, Public Relations, Publishing",Egypt,"Digital Boom is a leading source of news for marketing and advertising professionals. It delivers insightful, forward-thinking content.", adigitalboom.com/ ,hello@adigitalboom.com,1,Jan 2014,—,—,—,—,—,—,—
119,Energy," Education, Gaming, Information Technology, Outdoors",Bulgaria,"Playground Energy develops ideas to make outdoor games more fun, educational and functional for children.", www.playgroundenergy.com/ ,hristo@playgroundenergy.com,2,2012,—,—,—,—,—,—,—
120,Systems," Consulting, Education, Human Resources, Information Technology, Recruiting, Software, Training",United States,"Acuity Systems, Inc. has helped executives and sales professionals to improve sales process", salesmadeeasy.com ,acuity@salesmadeeasy.com,—,1995,—,—,—,—,—,—,—
121,Inknowledge," EdTech, Education, Information Technology, Small and Medium Businesses, Software",United States,Inknowledge is a software company specializing in solutions for higher education., www.inknowledge.com ,info@inknowledge.com,2,2012,—,—,—,—,—,—,—
122,Eachbaby," Baby, Education, Information Services, Information Technology, Internet",China,Eachbaby is a Chinese information service provider focused on baby interaction education services., www.eachbaby.com ,—,1,2010,—,—,—,—,—,—,—
123,Compatibility," Analytics, Big Data, EdTech, Education, Information Technology",United States,Compatibility develops assessments and matching algorithms to drive early-student engagement and success at colleges and universities., www.compatibilityllc.com/ ,info@compatibilityllc.com,2,"Jun 10, 2011",—,—,—,—,—,—,—
